entity,predicate,predicate_class,role,count,articles,example_sent
Iranian Students' News Agency,tell,communicative,object,1,1,20:14
Iraq,ship,other,subject,1,1,62:14
Irins Bushehr,take,other,object,1,1,72:4
Iris Dena,return,other,subject,1,1,72:7
Irna news agency,report,communicative,subject,1,1,14:23
Ishaq Dar,urge,communicative,subject,1,1,83:26
Islamic Revolution Guard Corps,blame,other,subject,1,1,61:3
Islamic Revolutionary Guards Corps,lay,other,subject,1,1,71:27
Isle of Wight Air Ambulance,say,communicative,subject,1,1,19:5
Israel,launch,action,subject,18,17,13:11
Israel,attack,action_nominal,nominal_agent,16,13,3:29
Israel,attack,action,subject,13,12,5:14
Israel,strike,action_nominal,nominal_agent,13,10,20:38
Israel,say,communicative,subject,11,8,17:16
Israel,fire,action,prep_target,8,5,3:10
Israel,continue,other,subject,7,5,20:37
Israel,offensive,action_nominal,nominal_agent,5,5,18:26
Israel,campaign,action_nominal,nominal_agent,4,4,15:54
Israel,begin,other,subject,4,4,20:27
Israel,agree,communicative,subject,4,4,50:66
Israel,be,other,subject,4,4,50:69
Israel,see,mental,subject,3,3,65:29
Israel,send,action,subject,2,2,8:11
Israel,kill,action,subject,2,2,26:32
Israel,carry,other,subject,2,2,33:39
Israel,target,action,subject,2,1,50:11
Israel,hit,action,subject,2,2,56:21
Israel,recognise,other,subject,2,1,67:92
Israel,operation,action_nominal,nominal_agent,2,2,69:24
Israel,insist,communicative,subject,2,2,70:16
Israel,react,other,subject,1,1,6:17
Israel,appear,other,subject,1,1,8:14
Israel,break,other,subject,1,1,17:17
Israel,strike,action,object,1,1,20:36
Israel,inflict,other,subject,1,1,26:25
Israel,go,other,subject,1,1,26:30
Israel,help,other,object,1,1,29:54
Israel,see,mental,object,1,1,38:19
Israel,suspect,other,subject,1,1,45:22
Israel,wait,other,subject,1,1,49:33
Israel,accuse,communicative,object,1,1,50:17
Israel,support,action,subject,1,1,50:53
Israel,consider,mental,subject,1,1,50:74
Israel,include,other,object,1,1,55:5
Israel,retaliate,action,prep_target,1,1,63:15
Israel,avoid,other,subject,1,1,65:7
Israel,withdrawal,action_nominal,nominal_agent,1,1,65:18
Israel,bombing,action_nominal,nominal_agent,1,1,67:13
Israel,respond,communicative,subject,1,1,67:13
Israel,ignore,other,subject,1,1,67:15
Israel,withdraw,action,subject,1,1,67:23
Israel,abide,other,subject,1,1,67:52
Israel,downgrade,other,subject,1,1,67:58
Israel,attack,action,object,1,1,67:61
Israel,warn,communicative,subject,1,1,67:61
Israel,have,other,subject,1,1,69:11
Israel,take,other,object,1,1,69:12
Israel,want,mental,subject,1,1,69:15
Israel,preserve,other,subject,1,1,69:31
Israel,maintain,other,subject,1,1,76:24
Israel,resume,other,subject,1,1,77:18
Israel,argue,communicative,subject,1,1,77:29
Israel,vote,other,subject,1,1,77:37
Israel,allow,other,subject,1,1,85:30
Israel,escalate,other,subject,1,1,89:2
Israel,ignite,other,subject,1,1,89:33
Israel,do,other,subject,1,1,89:35
Israel,translate,other,subject,1,1,89:39
